Rennname	Donnergurke	Blitzkaefer	Turboschnecke	Warphamster	Nebelwurst	Krümelrakete	Eisenpinguin	Sturmtoaster	Glitzerpanzer	Feuersalami	Stahlkrabbe	Quantenbrötchen	Plasmaziege	Mondschrauber	NoName	Reifendelphin	Meeresraser
Typ	WARM	WARM	WARM	WARM	WARM	WARM	WARM	WARM	COLD	COLD	COLD	COLD	COLD	COLD	COLD	COLD	WARM
Farbe	#ff0	#0ff	#f0f	#4f4	#f80	#f44	#8ff	#c4f	#ff8	#f4a	#0f8	#fa0	#f88	#4ff	#4ff	#f60	#a0f
Aktiv	0	1	1	0	0	1	1	1	0	0	1	1	1	0	0	1	1
Rang	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!	#REF!
KW01																	
KW02																	
KW03																	
KW04																	
KW05																	
KW06																	
KW07																	
KW08																	
KW09																	
KW10																	
KW11																	
KW12																	
KW13																	
KW14																	
KW15																	
KW16																	
KW17																	
KW18																	
KW19																	
KW20																	
KW21																	
KW22																	
KW23																	
KW24																	
KW25																	
KW26																	
KW27																	
KW28																	
KW29																	
KW30																	
KW31																	
KW32																	
KW33																	
KW34																	
KW35																	
KW36																	
KW37																	
KW38																	
KW39																	
KW40																	
KW41																	
KW42																	
KW43																	
KW44																	
KW45																	
KW46																	
KW47																	
KW48																	
KW49																	
KW50																	
KW51																	
KW52																	
KW53																	
